"","libgeo","taux_pvt.total","taux_chom_bit.total","taux_emp.total","ecart_tx_emp_f_h.total","sal_hor_net_femme.ens","sal_hor_net_homme.ens","part_tps_partiel","part_chomeurs_ld","niveau_vie_median","part_foy_fisc_impos","revenu_decl_median","esper_vie.femme","esper_vie.homme","part_20_24_sortis_nondip","taux_mort_infant","part_pop75","pop.f_15_24","taux_lgmt_suroccupes","log_hlm_tot","part_pls","part_log.vac","qualair_NO2.moyanmax_dep","med_dist_km.act","part_critair_1_0_vp","couv4g","apl_medgen_moins65","part_apa_plus75","nb_crea_etablissements","part_emp_ess","deces_femme_cancer"
"1","Ain","10.8","5.9","71.56","-6.92","13.7672110633504","16.4484543640253","16.18","35.4","24810","55.2","24780","85.7","80.7","14.6","3.2","8.36","32903","2.42","47407","16.64","8.08","41","10.9","26.75","97.9","2.50300500822518","18.88","8654","11.65","608"
"2","Aisne","18.8","11.1","61.04","-7.2","12.7125862788714","14.6126218626505","17.46","50.12","20920","45.2","20200","82.6","76.1","22.21","4.7","9.39","27921","2.34","40922","17.59","9.94","54","10.9","22.36","99.6","2.74218337998848","27.34","4595","11.74","644"
"3","Allier","16.2","8.3","64.28","-3.98","12.5363914423062","14.3823007828551","16.74","47.17","21500","45.3","20860","84.6","78.3","17.26","4.1","13.86","15482","1.64","20200","12.35","14.68","49","7.1","22.11","99.6","2.75916139585589","23.71","3611","13.07","609"
"4","Alpes-de-Haute-Provence","17.1","9.1","65.14","-4.26","12.9829946139924","14.9891344535969","21.15","40.57","21790","47.3","21450","84.5","78.9","16.3","2.2","12.83","6921","2.94","7540","9.39","8.26","53","6.3","23.74","85.1","3.31192408282962","19.98","2830","13.18","234"
"5","Hautes-Alpes","14.7","7.8","69.58","-3.64999999999999","12.6804709138246","14.2041032474476","22.83","39.9","22010","49.3","21680","86.2","80.4","13","2.2","12.1","5666","2.27","7968","11.68","5.68","41","2.7","24.24","78.1","4.31021979438405","17.66","2550","14.24","184"
"6","Alpes-Maritimes","16.4","8.6","66.23","-6.16","14.749197619307","17.6581322678036","15.87","39.07","23460","55.2","23530","85.6","79.3","15.87","2.8","12.82","56657","9.92","58685","11.16","8.32","49","4.3","36.44","83.4","3.72641396212145","19.85","29301","8.66","1433"
"7","Ardèche","14.9","8.6","66.38","-5.06999999999999","12.7641341990653","15.0607485388705","23.23","40.88","21990","47.3","21480","85.8","79.3","14.65","3","11.95","14557","1.98","13743","9","9.59","59","8.3","23.13","95.8","2.60141578702171","25.33","4490","15.92","413"
"8","Ardennes","19.4","9.5","61.91","-8.13","12.4557703401786","14.6938239165389","18.59","50.45","20850","43.5","20250","83.2","76.7","18.68","3.2","9.93","13079","1.42","24336","19.96","11.63","41","8.7","20.32","97.1","3.46320273694326","31.05","2461","11.86","357"
"9","Ariège","19","9.8","64.48","-4.46999999999999","12.1190713831432","14.2216470948766","21.49","46.93","20820","43.3","20150","85.1","79.3","16.88","1.9","12.91","6541","1.97","3624","4.9","9.04","54","7.5","19.71","83.9","3.46719646814775","23.13","2288","13.37","234"
"10","Aube","16.9","10","62.83","-5.35000000000001","12.7326085108341","14.8951301882787","15.89","47.43","21530","47.7","21070","84.7","77.6","17.65","4.7","10.35","17055","2.83","32002","22.24","9.29","49","6.5","21.77","99","2.93559095869942","21.5","3737","12.46","370"
